,LSTM_Forecast,LSTM_CI_Lower,LSTM_CI_Upper
2025-07-31,322.583,308.06424,337.10178
2025-08-01,320.70413,306.18536,335.2229
2025-08-04,318.77414,304.25537,333.2929
2025-08-05,316.9043,302.38553,331.42307
2025-08-06,315.12363,300.60486,329.6424
2025-08-07,313.43625,298.91748,327.95502
2025-08-08,311.8373,297.31854,326.35608
2025-08-11,310.3184,295.79962,324.83716
2025-08-12,308.87012,294.35135,323.3889
2025-08-13,307.4833,292.96454,322.00208
2025-08-14,306.14996,291.6312,320.66873
2025-08-15,304.86334,290.34457,319.3821
2025-08-18,303.61804,289.09927,318.1368
2025-08-19,302.4097,287.89093,316.92847
2025-08-20,301.23523,286.71646,315.754
2025-08-21,300.09232,285.57355,314.61108
2025-08-22,298.97916,284.4604,313.49792
2025-08-25,297.89462,283.37585,312.4134
2025-08-26,296.8377,282.31894,311.35648
2025-08-27,295.80762,281.28885,310.3264
2025-08-28,294.80365,280.28488,309.32242
2025-08-29,293.82523,279.30646,308.344
2025-09-01,292.8717,278.35294,307.39047
2025-09-02,291.94235,277.42358,306.46112
2025-09-03,291.03662,276.51785,305.5554
2025-09-04,290.15366,275.6349,304.67242
2025-09-05,289.29282,274.77405,303.81158
2025-09-08,288.45337,273.9346,302.97214
2025-09-09,287.63464,273.11588,302.1534
2025-09-10,286.83582,272.31705,301.35458
2025-09-11,286.05627,271.5375,300.57504
2025-09-12,285.29532,270.77655,299.8141
2025-09-15,284.55228,270.0335,299.07104
2025-09-16,283.82663,269.30786,298.3454
2025-09-17,283.11777,268.599,297.63654
2025-09-18,282.42505,267.90628,296.94382
2025-09-19,281.74805,267.22928,296.2668
2025-09-22,281.0862,266.56744,295.60498
2025-09-23,280.43906,265.9203,294.95782
2025-09-24,279.80615,265.28738,294.32492
2025-09-25,279.18704,264.66827,293.7058
2025-09-26,278.5813,264.06253,293.10007
2025-09-29,277.98856,263.4698,292.50732
2025-09-30,277.4084,262.88962,291.92715
2025-10-01,276.84048,262.32172,291.35925
2025-10-02,276.2845,261.76572,290.80325
2025-10-03,275.74,261.22122,290.25876
2025-10-06,275.2068,260.68802,289.72556
2025-10-07,274.68445,260.16568,289.20322
2025-10-08,274.17273,259.65396,288.6915
2025-10-09,273.67133,259.15256,288.1901
2025-10-10,273.17996,258.6612,287.69873
2025-10-13,272.6984,258.17963,287.21716
2025-10-14,272.22635,257.70758,286.74512
2025-10-15,271.76352,257.24475,286.2823
2025-10-16,271.30975,256.791,285.82852
2025-10-17,270.86475,256.34598,285.3835
2025-10-20,270.4283,255.90955,284.94708
2025-10-21,270.00024,255.48148,284.519
2025-10-22,269.5803,255.06152,284.09906
2025-10-23,269.16824,254.64948,283.687
2025-10-24,268.76398,254.24521,283.28275
2025-10-27,268.36722,253.84845,282.886
2025-10-28,267.9778,253.45905,282.49658
2025-10-29,267.5956,253.07684,282.11438
2025-10-30,267.2204,252.70163,281.73917
2025-10-31,266.85202,252.33325,281.3708
2025-11-03,266.49036,251.97159,281.00912
2025-11-04,266.1351,251.61633,280.65387
2025-11-05,265.78635,251.26758,280.3051
2025-11-06,265.44376,250.92499,279.96252
2025-11-07,265.10724,250.58847,279.626
2025-11-10,264.7767,250.25793,279.29547
2025-11-11,264.45187,249.9331,278.97064
2025-11-12,264.13278,249.61401,278.65155
2025-11-13,263.81924,249.30048,278.338
2025-11-14,263.5111,248.99234,278.02988
2025-11-17,263.2083,248.68954,277.72708
2025-11-18,262.9107,248.39194,277.42947
2025-11-19,262.6182,248.09943,277.13696
2025-11-20,262.33057,247.8118,276.84933
2025-11-21,262.04794,247.52917,276.5667
2025-11-24,261.76996,247.25119,276.28873
2025-11-25,261.49664,246.97787,276.0154
2025-11-26,261.22794,246.70917,275.7467
2025-11-27,260.96365,246.44489,275.48242
2025-11-28,260.70377,246.185,275.22253
2025-12-01,260.44815,245.92938,274.96692
2025-12-02,260.19675,245.67798,274.7155
2025-12-03,259.94946,245.4307,274.46823
2025-12-04,259.70618,245.18741,274.22495
2025-12-05,259.46683,244.94806,273.9856
2025-12-08,259.23135,244.71259,273.75012
2025-12-09,258.99963,244.48087,273.5184
2025-12-10,258.7717,244.25293,273.29047
2025-12-11,258.5474,244.02863,273.06616
2025-12-12,258.3266,243.80783,272.84537
2025-12-15,258.10934,243.59058,272.6281
2025-12-16,257.8955,243.37674,272.41428
2025-12-17,257.68503,243.16626,272.2038
2025-12-18,257.47787,242.9591,271.99664
2025-12-19,257.27396,242.75519,271.79272
2025-12-22,257.07318,242.55441,271.59195
2025-12-23,256.87558,242.35681,271.39435
2025-12-24,256.68097,242.1622,271.19974
2025-12-25,256.48938,241.97061,271.00815
2025-12-26,256.30078,241.78201,270.81955
2025-12-29,256.11505,241.59628,270.63382
2025-12-30,255.93217,241.4134,270.45096
2025-12-31,255.75209,241.23332,270.27087
2026-01-01,255.57472,241.05595,270.0935
2026-01-02,255.40005,240.88129,269.91882
2026-01-05,255.22798,240.70921,269.74677
2026-01-06,255.05852,240.53975,269.5773
2026-01-07,254.89163,240.37286,269.4104
2026-01-08,254.72722,240.20845,269.246
2026-01-09,254.56525,240.04648,269.084
2026-01-12,254.4057,239.88693,268.92447
2026-01-13,254.24854,239.72977,268.7673
2026-01-14,254.09364,239.57487,268.61243
2026-01-15,253.9411,239.42233,268.45987
2026-01-16,253.79077,239.272,268.30954
2026-01-19,253.64267,239.1239,268.16144
2026-01-20,253.49673,238.97797,268.0155
2026-01-21,253.3529,238.83414,267.87167
2026-01-22,253.21124,238.69247,267.73
