,LSTM_Forecast
2025-07-31,322.583
2025-08-01,320.70413
2025-08-04,318.77414
2025-08-05,316.9043
2025-08-06,315.12363
2025-08-07,313.43625
2025-08-08,311.8373
2025-08-11,310.3184
2025-08-12,308.87012
2025-08-13,307.4833
2025-08-14,306.14996
2025-08-15,304.86334
2025-08-18,303.61804
2025-08-19,302.4097
2025-08-20,301.23523
2025-08-21,300.09232
2025-08-22,298.97916
2025-08-25,297.89462
2025-08-26,296.8377
2025-08-27,295.80762
2025-08-28,294.80365
2025-08-29,293.82523
2025-09-01,292.8717
2025-09-02,291.94235
2025-09-03,291.03662
2025-09-04,290.15366
2025-09-05,289.29282
2025-09-08,288.45337
2025-09-09,287.63464
2025-09-10,286.83582
2025-09-11,286.05627
2025-09-12,285.29532
2025-09-15,284.55228
2025-09-16,283.82663
2025-09-17,283.11777
2025-09-18,282.42505
2025-09-19,281.74805
2025-09-22,281.0862
2025-09-23,280.43906
2025-09-24,279.80615
2025-09-25,279.18704
2025-09-26,278.5813
2025-09-29,277.98856
2025-09-30,277.4084
2025-10-01,276.84048
2025-10-02,276.2845
2025-10-03,275.74
2025-10-06,275.2068
2025-10-07,274.68445
2025-10-08,274.17273
2025-10-09,273.67133
2025-10-10,273.17996
2025-10-13,272.6984
2025-10-14,272.22635
2025-10-15,271.76352
2025-10-16,271.30975
2025-10-17,270.86475
2025-10-20,270.4283
2025-10-21,270.00024
2025-10-22,269.5803
2025-10-23,269.16824
2025-10-24,268.76398
2025-10-27,268.36722
2025-10-28,267.9778
2025-10-29,267.5956
2025-10-30,267.2204
2025-10-31,266.85202
2025-11-03,266.49036
2025-11-04,266.1351
2025-11-05,265.78635
2025-11-06,265.44376
2025-11-07,265.10724
2025-11-10,264.7767
2025-11-11,264.45187
2025-11-12,264.13278
2025-11-13,263.81924
2025-11-14,263.5111
2025-11-17,263.2083
2025-11-18,262.9107
2025-11-19,262.6182
2025-11-20,262.33057
2025-11-21,262.04794
2025-11-24,261.76996
2025-11-25,261.49664
2025-11-26,261.22794
2025-11-27,260.96365
2025-11-28,260.70377
2025-12-01,260.44815
2025-12-02,260.19675
2025-12-03,259.94946
2025-12-04,259.70618
2025-12-05,259.46683
2025-12-08,259.23135
2025-12-09,258.99963
2025-12-10,258.7717
2025-12-11,258.5474
2025-12-12,258.3266
2025-12-15,258.10934
2025-12-16,257.8955
2025-12-17,257.68503
2025-12-18,257.47787
2025-12-19,257.27396
2025-12-22,257.07318
2025-12-23,256.87558
2025-12-24,256.68097
2025-12-25,256.48938
2025-12-26,256.30078
2025-12-29,256.11505
2025-12-30,255.93217
2025-12-31,255.75209
2026-01-01,255.57472
2026-01-02,255.40005
2026-01-05,255.22798
2026-01-06,255.05852
2026-01-07,254.89163
2026-01-08,254.72722
2026-01-09,254.56525
2026-01-12,254.4057
2026-01-13,254.24854
2026-01-14,254.09364
2026-01-15,253.9411
2026-01-16,253.79077
2026-01-19,253.64267
2026-01-20,253.49673
2026-01-21,253.3529
2026-01-22,253.21124
